time,Actual,Simulation,Error,0.046142998,0.965537043,,MAE,MSE,,MAE %,MSE ,MR %,Coef,R-square
1:46,501.0111217,501.03653,0.005071414,500.518265,0.098372407,,0.005071404,0.000645582,,,,,,
1:48,501.1021526,501.12717,0.004992479,500.563585,0.107476609,,0.004992475,0.00062587,,,,,,
1:50,501.1931835,501.21601,0.004554429,500.608005,0.116757075,,0.004554431,0.000521049,,,,,,
1:52,501.2842144,501.29569,0.002289231,500.647845,0.126947824,,0.00228924,0.000131689,,,,,,
1:54,501.3752454,501.37217,0.000613388,500.686085,0.137454014,,0.000613393,9.45809E-06,,,,,,
1:56,501.4662763,501.45196,0.002854889,500.72598,0.147626338,,0.002854888,0.000204956,,,,,,
1:58,501.5573072,501.53616,0.004216316,500.76808,0.157355339,,0.004216308,0.000447204,,,,,,
2:00,501.6483382,501.62308,0.005035035,500.81154,0.166809722,,0.005035041,0.000637977,,,,,,
2:02,501.5735418,501.54746,0.005199996,500.77373,0.159460524,,0.005199995,0.00068026,,,,,,
2:04,501.4987454,501.47269,0.005195515,500.736345,0.152024388,,0.005195507,0.000678884,,,,,,
2:06,501.4239491,501.40011,0.004754276,500.700055,0.144367676,,0.00475428,0.000568303,,,,,,
2:08,501.3491527,501.32949,0.003921961,500.664745,0.136513186,,0.003921957,0.000386622,,,,,,
2:10,501.2743564,501.25903,0.003057478,500.629515,0.128640413,,0.003057487,0.000234899,,,,,,
2:12,501.19956,501.19535,0.000839983,500.597675,0.120088892,,0.000839985,1.77241E-05,,,,,,
2:14,501.1247636,501.1298,0.001005014,500.5649,0.1117214,,0.001005019,2.53653E-05,,,,,,
2:16,501.0499673,501.05982,0.001966418,500.52991,0.1037935,,0.001966411,9.70757E-05,,,,,,
2:18,500.9751709,500.98892,0.002744468,500.49446,0.095955035,,0.002744467,0.000189038,,,,,,
2:20,500.9003745,500.91808,0.003534728,500.45904,0.088108239,,0.003534735,0.000313485,,,,,,
2:22,500.8255782,500.84545,0.003967814,500.422725,0.080437825,,0.003967809,0.000394888,,,,,,
2:24,500.7507818,500.77277,0.004391045,500.386385,0.072770091,,0.004391047,0.000483481,,,,,,
2:26,500.6759854,500.69785,0.004367007,500.348925,0.065323764,,0.004367016,0.000478061,,,,,,
2:28,500.6011891,500.62244,0.00424508,500.31122,0.057924173,,0.004245076,0.000451601,,,,,,
2:30,500.5263927,500.54883,0.004482737,500.274415,0.05034254,,0.004482741,0.000503432,,,,,,
2:32,500.4850985,500.50818,0.004611816,500.25409,0.046156919,,0.004611826,0.000532756,,,,,,
2:34,500.4438044,500.4673,0.004694957,500.23365,0.041993606,,0.004694953,0.000552043,,,,,,
2:36,500.4025102,500.42678,0.004850054,500.21339,0.037793615,,0.004850056,0.000589023,,,,,,
2:38,500.361216,500.38499,0.00475136,500.192495,0.03371984,,0.004751367,0.000565203,,,,,,
2:40,500.3199219,500.34175,0.004362835,500.170875,0.029790319,,0.004362828,0.000476466,,,,,,
2:42,500.2786277,500.28886,0.002045321,500.14443,0.026824592,,0.00204532,0.0001047,,,,,,
2:44,500.2373335,500.23293,0.000880288,500.116465,0.024162231,,0.000880282,1.93908E-05,,,,,,
2:46,500.1960394,500.18051,0.003104654,500.090255,0.021148588,,0.003104663,0.000241162,,,,,,
2:48,500.1547452,500.13227,0.004493647,500.066135,0.017716557,,0.004493649,0.000505135,,,,,,
2:50,500.113451,500.08722,0.005245013,500.04361,0.013965031,,0.00524501,0.000688065,,,,,,
2:52,500.0721568,500.0451,0.005410589,500.02255,0.009919928,,0.005410579,0.00073207,,,,,,
2:54,500.0308627,500.00382,0.005408202,500.00191,0.005790183,,0.005408206,0.000731308,,,,,,
2:56,499.9895685,499.96449,0.005015806,499.982245,0.001464731,,0.005015805,0.000628931,,,,,,
2:58,499.9482743,499.92744,0.004167299,499.96372,0.00308946,,0.004167291,0.000434068,,,,,,
3:00,499.9069802,499.89082,0.003232635,499.94541,0.00768739,,0.003232641,0.000261152,,,,,,
3:02,499.9745885,499.96925,0.00106775,499.984625,0.002007402,,0.001067754,2.84996E-05,,,,,,
3:04,500.0421968,500.04606,0.000772577,500.02303,0.003833037,,0.000772575,1.49243E-05,,,,,,
3:06,500.1098051,500.11835,0.001708604,500.059175,0.010123797,,0.001708605,7.30153E-05,,,,,,
3:08,500.1774134,500.19023,0.002562408,500.095115,0.016453842,,0.002562411,0.000164265,,,,,,
3:10,500.2450217,500.26129,0.003252062,500.130645,0.022864136,,0.003252066,0.000264658,,,,,,
3:12,500.31263,500.33105,0.003681691,500.165525,0.029402616,,0.003681698,0.000339296,,,,,,
3:14,500.3802383,500.40074,0.004097215,500.20037,0.035946324,,0.004097224,0.00042032,,,,,,
3:16,500.4478467,500.46862,0.00415095,500.23431,0.042669122,,0.004150942,0.00043153,,,,,,
3:18,500.515455,500.5353,0.003964919,500.26765,0.04950996,,0.003964913,0.000393824,,,,,,
3:20,500.5830633,500.60419,0.004220422,500.302095,0.056128207,,0.004220418,0.000446337,,,,,,
3:22,500.6506716,500.67255,0.004369995,500.336275,0.062797599,,0.004369993,0.000478664,,,,,,
3:24,500.7182799,500.74071,0.004479584,500.370355,0.06948516,,0.004479585,0.000503109,,,,,,
3:26,500.7858882,500.80877,0.004569175,500.404385,0.076180901,,0.004569178,0.000523577,,,,,,
3:28,500.8534965,500.87591,0.004475056,500.437955,0.082966676,,0.004475061,0.000502365,,,,,,
3:30,500.9211048,500.94159,0.004089499,500.470795,0.089896352,,0.004089506,0.000419643,,,,,,
3:32,500.9175465,500.9266,0.001807384,500.4633,0.090682888,,0.001807383,8.19659E-05,,,,,,
3:34,500.9139882,500.90865,0.001065684,500.454325,0.091764896,,0.001065692,2.84964E-05,,,,,,
3:36,500.9104298,500.89426,0.003228086,500.44713,0.092491546,,0.003228082,0.000261462,,,,,,
3:38,500.9068715,500.88342,0.004681805,500.44171,0.092863869,,0.004681808,0.000549973,,,,,,
3:40,500.9033131,500.87627,0.005398875,500.438135,0.092867843,,0.005398866,0.000731329,,,,,,
3:42,500.8997548,500.87194,0.005552969,500.43597,0.092590343,,0.005552967,0.000773663,,,,,,
3:44,500.8961965,500.86843,0.005543358,500.434215,0.092230986,,0.005543364,0.000770979,,,,,,
3:46,500.8926381,500.86679,0.005160413,500.433395,0.091684937,,0.005160407,0.000668124,,,,,,
3:48,500.8890798,500.86761,0.004286336,500.433805,0.090893337,,0.004286338,0.000460952,,,,,,
3:50,500.8855215,500.86835,0.003428219,500.434175,0.090109712,,0.003428228,0.00029486,,,,,,
