time,Actual,Simulation,MAE,MSE,-0.046438257,0.162064326,,MAE %,MSE %,MRD,Coe,R-square
2:08,12.18308,12.161675,0.175694488,0.000458174,0.021405,0.021405,,,,,,
2:10,12.12404,12.134815,0.088873016,0.000116101,-0.010775,0.010775,,,,,,
2:12,12.13426,12.14451,0.084471571,0.000105063,-0.01025,0.01025,,,,,,
2:14,12.1295,12.143105,0.112164557,0.000185096,-0.013605,0.013605,,,,,,
2:16,12.07916,12.107565,0.23515708,0.000806844,-0.028405,0.028405,,,,,,
2:18,12.04414,12.100815,0.470560787,0.003212056,-0.056675,0.056675,,,,,,
2:20,12.04864,12.09345,0.371909195,0.002007936,-0.04481,0.04481,,,,,,
2:22,11.92468,12.051855,1.066485642,0.016173481,-0.127175,0.127175,,,,,,
2:24,12.01299,12.06964,0.471572856,0.003209222,-0.05665,0.05665,,,,,,
2:26,11.92349,12.032695,0.915881172,0.011925732,-0.109205,0.109205,,,,,,
2:28,11.92423,12.028905,0.87783446,0.010956856,-0.104675,0.104675,,,,,,
2:30,11.97223,12.056935,0.707512301,0.007174937,-0.084705,0.084705,,,,,,
2:32,11.90023,12.022635,1.028593565,0.014982984,-0.122405,0.122405,,,,,,
2:34,11.73116,11.93129,1.705969401,0.040052017,-0.20013,0.20013,,,,,,
2:36,11.91227,11.99835,0.72261626,0.007409766,-0.08608,0.08608,,,,,,
2:38,11.79965,11.928955,1.095837588,0.016719783,-0.129305,0.129305,,,,,,
2:40,11.86391,11.956265,0.778453309,0.008529446,-0.092355,0.092355,,,,,,
2:42,11.90132,11.981075,0.67013575,0.00636086,-0.079755,0.079755,,,,,,
2:44,11.86548,11.973995,0.914543702,0.011775505,-0.108515,0.108515,,,,,,
2:46,11.92034,11.994045,0.6183129,0.005432427,-0.073705,0.073705,,,,,,
2:48,11.93489,12.014615,0.667999454,0.006356076,-0.079725,0.079725,,,,,,
2:50,12.05347,12.07328,0.164351013,0.000392436,-0.01981,0.01981,,,,,,
2:52,11.97958,12.049165,0.580863436,0.004842072,-0.069585,0.069585,,,,,,
2:54,11.9199,12.01814,0.824167988,0.009651098,-0.09824,0.09824,,,,,,
2:56,11.84722,11.992565,1.226827897,0.021125169,-0.145345,0.145345,,,,,,
2:58,11.83308,11.978055,1.225167074,0.021017751,-0.144975,0.144975,,,,,,
3:00,11.80281,11.958505,1.31913502,0.024240933,-0.155695,0.155695,,,,,,
3:02,11.83904,11.961065,1.030700124,0.014890101,-0.122025,0.122025,,,,,,
3:04,11.89382,11.977655,0.704861853,0.007028307,-0.083835,0.083835,,,,,,
3:06,11.94642,12.004965,0.490063132,0.003427517,-0.058545,0.058545,,,,,,
3:08,11.99329,12.039455,0.38492357,0.002131207,-0.046165,0.046165,,,,,,
3:10,11.95295,12.03679,0.701416805,0.007029146,-0.08384,0.08384,,,,,,
3:12,11.95313,12.03588,0.692287292,0.006847563,-0.08275,0.08275,,,,,,
3:14,11.91458,12.02561,0.931883457,0.012327661,-0.11103,0.11103,,,,,,
3:16,11.90398,12.014575,0.929059021,0.012231254,-0.110595,0.110595,,,,,,
3:18,11.87891,12.00647,1.073835899,0.016271554,-0.12756,0.12756,,,,,,
3:20,11.89344,12.00331,0.923786558,0.012071417,-0.10987,0.10987,,,,,,
3:22,11.90011,11.99644,0.809488316,0.009279469,-0.09633,0.09633,,,,,,
3:24,11.9911,12.031465,0.336624663,0.001629333,-0.040365,0.040365,,,,,,
3:26,11.89434,12.004595,0.926953492,0.012156165,-0.110255,0.110255,,,,,,
3:28,11.94319,12.02662,0.698557086,0.006960565,-0.08343,0.08343,,,,,,
3:30,11.95721,12.043965,0.725545508,0.00752643,-0.086755,0.086755,,,,,,
3:32,11.87604,12.007205,1.104450642,0.017204257,-0.131165,0.131165,,,,,,
3:34,11.88535,12.01202,1.065765838,0.016045289,-0.12667,0.12667,,,,,,
3:36,11.97999,12.05941,0.662938784,0.006307536,-0.07942,0.07942,,,,,,
3:38,11.92366,12.028105,0.875947486,0.010908758,-0.104445,0.104445,,,,,,
3:40,12.00828,12.06562,0.477503856,0.003287876,-0.05734,0.05734,,,,,,
3:42,12.03227,12.086705,0.452408398,0.002963169,-0.054435,0.054435,,,,,,
3:44,11.92001,12.036225,0.974957236,0.013505926,-0.116215,0.116215,,,,,,
3:46,11.9715,12.04814,0.640187111,0.00587369,-0.07664,0.07664,,,,,,
3:48,11.96478,12.050915,0.719904587,0.007419238,-0.086135,0.086135,,,,,,
3:50,11.97038,12.061915,0.76467915,0.008378656,-0.091535,0.091535,,,,,,
3:52,11.92039,12.028185,0.904290883,0.011619762,-0.107795,0.107795,,,,,,
3:54,11.90127,12.02562,1.044846474,0.015462922,-0.12435,0.12435,,,,,,
3:56,11.84016,11.982035,1.198252388,0.020128516,-0.141875,0.141875,,,,,,
3:58,11.87371,11.98906,0.971473954,0.013305622,-0.11535,0.11535,,,,,,
4:00,11.84724,11.969605,1.032856598,0.014973193,-0.122365,0.122365,,,,,,
4:02,11.87219,11.971305,0.834850183,0.009823783,-0.099115,0.099115,,,,,,
4:04,11.9794,12.028185,0.407240763,0.002379976,-0.048785,0.048785,,,,,,
4:06,12.06195,12.07536,0.111176054,0.000179828,-0.01341,0.01341,,,,,,
4:08,12.0865,12.095385,0.073511769,7.89E-05,-0.008885,0.008885,,,,,,
4:10,12.15723,12.143755,0.110839394,0.000181576,0.013475,0.013475,,,,,,
4:12,12.21215,12.192425,0.16151947,0.000389076,0.019725,0.019725,,,,,,
4:14,12.1192,12.166855,0.393219024,0.002270999,-0.047655,0.047655,,,,,,
4:16,12.05345,12.130875,0.642347212,0.005994631,-0.077425,0.077425,,,,,,
4:18,12.08791,12.145005,0.472331445,0.003259839,-0.057095,0.057095,,,,,,
4:20,12.11536,12.172775,0.47390255,0.003296482,-0.057415,0.057415,,,,,,
4:22,11.93699,12.08946,1.277290171,0.023247101,-0.15247,0.15247,,,,,,
4:24,11.88228,12.054575,1.450016327,0.029685567,-0.172295,0.172295,,,,,,
4:26,11.89209,12.042445,1.264327801,0.022606626,-0.150355,0.150355,,,,,,
4:28,11.89052,12.042695,1.279801052,0.023157231,-0.152175,0.152175,,,,,,
4:30,12.06069,12.121245,0.502085702,0.003666908,-0.060555,0.060555,,,,,,
4:32,12.14207,12.16744,0.208942956,0.000643637,-0.02537,0.02537,,,,,,
4:34,11.90466,12.07459,1.427424219,0.028876205,-0.16993,0.16993,,,,,,
4:36,11.87982,12.049315,1.426747207,0.028728555,-0.169495,0.169495,,,,,,
4:38,11.91607,12.065685,1.255573356,0.022384648,-0.149615,0.149615,,,,,,
4:40,11.86567,12.03999,1.469112153,0.030387462,-0.17432,0.17432,,,,,,
4:42,11.74377,11.97362,1.957207949,0.052831023,-0.22985,0.22985,,,,,,
4:44,11.85783,12.00755,1.262625624,0.022416078,-0.14972,0.14972,,,,,,
4:46,11.77807,11.969565,1.625860604,0.036670335,-0.191495,0.191495,,,,,,
4:48,11.68365,11.90356,1.882202907,0.048360408,-0.21991,0.21991,,,,,,
4:50,11.66052,11.874915,1.838640129,0.045965216,-0.214395,0.214395,,,,,,
4:52,11.76836,11.893555,1.063827075,0.015673788,-0.125195,0.125195,,,,,,
4:54,11.74002,11.872425,1.127808982,0.017531084,-0.132405,0.132405,,,,,,
4:56,11.72555,11.87184,1.247617383,0.021400764,-0.14629,0.14629,,,,,,
4:58,11.88867,11.951355,0.527266717,0.003929409,-0.062685,0.062685,,,,,,
5:00,11.7172,11.885825,1.439123681,0.028434391,-0.168625,0.168625,,,,,,
5:02,11.76864,11.90459,1.155188705,0.018482403,-0.13595,0.13595,,,,,,
5:04,11.65752,11.831205,1.48989665,0.030166479,-0.173685,0.173685,,,,,,
5:06,11.6163,11.79131,1.506589878,0.0306285,-0.17501,0.17501,,,,,,
5:08,11.66233,11.80627,1.23423021,0.020718724,-0.14394,0.14394,,,,,,
5:10,11.96518,11.95436,0.090429062,0.000117072,0.01082,0.01082,,,,,,
5:12,11.75975,11.877045,0.997427666,0.013758117,-0.117295,0.117295,,,,,,
5:14,11.75384,11.874195,1.023963232,0.014485326,-0.120355,0.120355,,,,,,
5:16,11.67386,11.844885,1.465025279,0.029249551,-0.171025,0.171025,,,,,,
5:18,11.84278,11.92248,0.672983877,0.00635209,-0.0797,0.0797,,,,,,
5:20,11.67999,11.86815,1.610960283,0.035404186,-0.18816,0.18816,,,,,,
5:22,11.75324,11.882015,1.095655326,0.016583001,-0.128775,0.128775,,,,,,
5:24,11.92609,11.967675,0.348689302,0.001729312,-0.041585,0.041585,,,,,,
5:26,11.89053,11.977445,0.730959848,0.007554217,-0.086915,0.086915,,,,,,
5:28,11.8516,11.955395,0.875788923,0.010773402,-0.103795,0.103795,,,,,,
5:30,11.76957,11.91849,1.265296863,0.022177166,-0.14892,0.14892,,,,,,
5:32,11.6222,11.84039,1.877355406,0.047606876,-0.21819,0.21819,,,,,,
5:34,11.62103,11.83045,1.802077785,0.043856736,-0.20942,0.20942,,,,,,
5:36,11.63459,11.819315,1.587722472,0.034123326,-0.184725,0.184725,,,,,,
5:38,11.74998,11.87317,1.048427316,0.015175776,-0.12319,0.12319,,,,,,
5:40,11.70492,11.852395,1.259940264,0.021748876,-0.147475,0.147475,,,,,,
5:42,11.60041,11.79742,1.698302043,0.03881294,-0.19701,0.19701,,,,,,
5:44,11.61549,11.8006,1.593647793,0.034265712,-0.18511,0.18511,,,,,,
5:46,11.66195,11.807305,1.246403903,0.021128076,-0.145355,0.145355,,,,,,
5:48,11.62735,11.79532,1.444611197,0.028213921,-0.16797,0.16797,,,,,,
5:50,11.75569,11.85824,0.87234352,0.010516503,-0.10255,0.10255,,,,,,
5:52,11.84376,11.907785,0.540580019,0.004099201,-0.064025,0.064025,,,,,,
5:54,11.67279,11.84056,1.437274208,0.028146773,-0.16777,0.16777,,,,,,
5:56,11.59838,11.801655,1.752615451,0.041320726,-0.203275,0.203275,,,,,,
5:58,11.49537,11.75157,2.22872339,0.06563844,-0.2562,0.2562,,,,,,
6:00,11.51157,11.75211,2.089549905,0.057859492,-0.24054,0.24054,,,,,,
6:02,11.50218,11.737765,2.048176954,0.055500292,-0.235585,0.235585,,,,,,
6:04,11.47183,11.718895,2.153666852,0.061041114,-0.247065,0.247065,,,,,,
6:06,11.58522,11.764325,1.54597841,0.032078601,-0.179105,0.179105,,,,,,
6:08,11.61387,11.78017,1.431908571,0.02765569,-0.1663,0.1663,,,,,,
6:10,11.59837,11.78092,1.573928061,0.033324503,-0.18255,0.18255,,,,,,
6:12,11.48923,11.719525,2.004442421,0.053035787,-0.230295,0.230295,,,,,,
6:14,11.48566,11.735735,2.177280191,0.062537506,-0.250075,0.250075,,,,,,
6:16,11.42738,11.690205,2.299958521,0.069076981,-0.262825,0.262825,,,,,,
6:18,11.44585,11.690105,2.134004901,0.059660505,-0.244255,0.244255,,,,,,
6:20,11.47793,11.698505,1.921731532,0.048653331,-0.220575,0.220575,,,,,,
6:22,11.23743,11.580215,3.050386076,0.117501556,-0.342785,0.342785,,,,,,
6:24,11.30852,11.596,2.542154057,0.08264475,-0.28748,0.28748,,,,,,
6:26,11.46655,11.6791,1.853652581,0.045177503,-0.21255,0.21255,,,,,,
6:28,11.50532,11.697835,1.673269409,0.037062025,-0.192515,0.192515,,,,,,
6:30,11.49594,11.6951,1.732437713,0.039664706,-0.19916,0.19916,,,,,,
6:32,11.55822,11.735295,1.532026558,0.031355556,-0.177075,0.177075,,,,,,
6:34,11.49183,11.70257,1.833824552,0.044411348,-0.21074,0.21074,,,,,,
6:36,11.56862,11.7474,1.545387436,0.031962288,-0.17878,0.17878,,,,,,
6:38,11.68588,11.81353,1.092343923,0.016294523,-0.12765,0.12765,,,,,,
6:40,11.64464,11.822415,1.526668064,0.031603951,-0.177775,0.177775,,,,,,
6:42,11.6312,11.82444,1.661393493,0.037341698,-0.19324,0.19324,,,,,,
6:44,12.06304,12.03123,0.26369804,0.001011876,0.03181,0.03181,,,,,,
6:46,12.26512,12.189935,0.612998487,0.005652784,0.075185,0.075185,,,,,,
6:48,12.40503,12.31587,0.718740704,0.007949506,0.08916,0.08916,,,,,,
6:50,12.3581,12.355935,0.017518874,4.69E-06,0.002165,0.002165,,,,,,
