time,Actual,Stope,Station,General station,,105 flow,,98,102,105,109,113
0:00,12.69363,12.69363,12.02379,12.69363,1,5.654513889,19.29670139,3.935763889,3.292361111,5.654513889,3.381770833,3.032291667
0:02,12.69363,12.69363,12.02379,12.69363,1,5.654513889,19.32170139,3.935763889,3.292361111,5.654513889,3.381770833,3.057291667
0:04,12.1889,12.1889,12.53775,12.1889,1,5.698784722,19.42144097,3.979166667,3.314930556,5.698784722,3.373784722,3.054774306
0:06,12.19689,12.19689,12.22106,12.19689,1,5.698784722,19.45512153,3.979166667,3.314930556,5.698784722,3.373784722,3.088454861
0:08,12.10738,12.10738,12.18618,12.10738,1,5.698784722,19.48376736,3.979166667,3.314930556,5.698784722,3.373784722,3.117100694
0:10,12.17418,12.17418,12.04103,12.17418,1,5.698784722,19.47118056,3.979166667,3.314930556,5.698784722,3.373784722,3.104513889
0:12,12.28272,12.28272,12.35842,12.28272,1,5.799479167,19.63472222,4.010416667,3.352083333,5.799479167,3.382291667,3.090451389
0:14,12.2584,12.2584,12.20432,12.2584,1,5.799479167,19.62717014,4.010416667,3.352083333,5.799479167,3.382291667,3.082899306
0:16,12.29602,12.29602,12.28132,12.29602,1,5.799479167,19.61909722,4.010416667,3.352083333,5.799479167,3.382291667,3.074826389
0:18,12.23212,12.23212,12.25857,12.23212,1,5.799479167,19.60989583,4.010416667,3.352083333,5.799479167,3.382291667,3.065625
0:20,12.11733,12.11733,12.09734,12.11733,1,5.784722222,19.65815972,4.036458333,3.377777778,5.784722222,3.412934028,3.046267361
0:22,12.10113,12.10113,12.07231,12.10113,1,5.784722222,19.66770833,4.036458333,3.377777778,5.784722222,3.412934028,3.055815972
0:24,12.07672,12.07672,12.09158,12.07672,1,5.784722222,19.66866319,4.036458333,3.377777778,5.784722222,3.412934028,3.056770833
0:26,12.05913,12.05913,12.01549,12.05913,1,5.784722222,19.69175347,4.036458333,3.377777778,5.784722222,3.412934028,3.079861111
0:28,12.17562,12.17562,12.14459,12.17562,1,5.786458333,19.76137153,4.032986111,3.40078125,5.786458333,3.457291667,3.083854167
0:30,12.13591,12.13591,12.17695,12.13591,1,5.786458333,19.75538194,4.032986111,3.40078125,5.786458333,3.457291667,3.077864583
0:32,12.07363,12.07363,12.03372,12.07363,1,5.786458333,19.74079861,4.032986111,3.40078125,5.786458333,3.457291667,3.06328125
0:34,12.14016,12.14016,12.09876,12.14016,1,5.786458333,19.73923611,4.032986111,3.40078125,5.786458333,3.457291667,3.06171875
0:36,12.20512,12.20512,12.20554,12.20512,1,5.840277778,19.759375,4.0546875,3.368229167,5.840277778,3.465972222,3.030208333
0:38,12.21218,12.21218,12.19155,12.21218,1,5.840277778,19.74418403,4.0546875,3.368229167,5.840277778,3.465972222,3.015017361
0:40,12.21664,12.21664,12.19984,12.21664,1,5.840277778,19.73576389,4.0546875,3.368229167,5.840277778,3.465972222,3.006597222
0:42,12.22257,12.22257,12.20059,12.22257,1,5.840277778,19.73263889,4.0546875,3.368229167,5.840277778,3.465972222,3.003472222
0:44,12.27677,12.27677,12.24462,12.27677,1,5.834201389,19.74904514,4.081597222,3.3671875,5.834201389,3.461545139,3.004513889
0:46,12.43287,12.43287,12.39987,12.43287,1,5.834201389,19.76814236,4.081597222,3.3671875,5.834201389,3.461545139,3.023611111
0:48,12.48414,12.48414,12.50129,12.48414,1,5.834201389,19.78619792,4.081597222,3.3671875,5.834201389,3.461545139,3.041666667
0:50,12.35882,12.35882,12.39161,12.35882,1,5.834201389,19.83854167,4.081597222,3.3671875,5.834201389,3.461545139,3.094010417
0:52,12.3268,12.3268,12.25112,12.3268,1,5.811631944,19.8484375,4.105902778,3.351736111,5.811631944,3.474652778,3.104513889
0:54,12.33996,12.33996,12.38438,12.33996,1,5.811631944,19.8572338,4.105902778,3.351736111,5.811631944,3.474652778,3.113310185
0:56,12.29979,12.29979,12.26781,12.29979,1,5.811631944,19.83741319,4.105902778,3.351736111,5.811631944,3.474652778,3.093489583
0:58,12.34064,12.34064,12.32228,12.34064,1,5.811631944,19.83289931,4.105902778,3.351736111,5.811631944,3.474652778,3.088975694
1:00,12.37388,12.37388,12.36888,12.37388,1,5.779513889,19.76397569,4.098958333,3.365625,5.779513889,3.448003472,3.071875
1:02,12.26422,12.26422,12.29604,12.26422,1,5.779513889,19.76744792,4.098958333,3.365625,5.779513889,3.448003472,3.075347222
1:04,12.12196,12.12196,12.10781,12.12196,1,5.779513889,19.78246528,4.098958333,3.365625,5.779513889,3.448003472,3.090364583
1:06,12.1212,12.1212,12.08213,12.1212,1,5.779513889,19.78567708,4.098958333,3.365625,5.779513889,3.448003472,3.093576389
1:08,12.19795,12.19795,12.18826,12.19795,1,5.644675926,19.63478009,4.096064815,3.365740741,5.644675926,3.473958333,3.054340278
1:10,12.27905,12.27905,12.26633,12.27905,1,5.644675926,19.63313079,4.096064815,3.365740741,5.644675926,3.473958333,3.052690972
