date,Flow,Pressure,Power,,
1/11/2016,0.187,0.61,0.13,,
2/11/2016,1.1168,0.66,1.646,,
3/11/2016,2.431,0.68,3.04,,
4/11/2016,2.45,0.15,3.35,,
7/11/2016,0.317,0.79,0.286,,
8/11/2016,0.186,1.06,0.195826142,,
9/11/2016,0.553,1.56,4.948826142,,
10/11/2016,0.023,0.9,0.969540626,,
11/11/2016,0,0.91,1.143540626,,
14/11/2016,0.897,0.688,3.527214134,,
15/11/2016,0.354,0.345,2.684113269,,
16/11/2016,0.857,0.47,3.24545098,,
17/11/2016,0.988,0.67,3.03923886,,
18/11/2016,0.304,0.86,1.41256887,,
21/11/2016,0.787,0.813,2.111396012,,
22/11/2016,0.63,0.122,0.289832462,,
23/11/2016,0.008,1.34,0.718938052,,
24/11/2016,3.5,0.164,4.783520607,,
25/11/2016,2.089,0.28,3.666802019,,
28/11/2016,0.059,0.75,7.834442065,,
29/11/2016,2.796,1.37,4.640948006,,
30/11/2016,2.813,2.05,3.76067395,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,4.004785152,5.24542521
,,,,3.670951753,5.748123373
,,,,3.324698596,6.274802117
,,,,3.343977376,6.240123801
,,,,3.564859487,5.88568015
,,,,3.715864702,5.613866897
,,,,3.715864702,5.613866897
