time,Actual,Simulation,MAE,MSE,-2.790610097,3.854870597,MAE %,MSE ,MR %,Coef,R-square
0:00,399.02,400.45895,0.360621022,2.070577103,-1.43895,1.43895,0.978335647,34.39860309,0.709590021,0.943591274,0.890364492
0:02,399.59,400.45895,0.217460397,0.755074103,-0.86895,0.86895,,,,,
0:04,399.02,400.27623,0.314828831,1.578113813,-1.25623,1.25623,,,,,
0:06,398.44,400.24135,0.452100693,3.244861823,-1.80135,1.80135,,,,,
0:08,398.44,400.21433,0.445319245,3.148246949,-1.77433,1.77433,,,,,
0:10,399.31,400.17092,0.215601913,0.741183246,-0.86092,0.86092,,,,,
0:12,399.88,400.11394,0.058502551,0.054727924,-0.23394,0.23394,,,,,
0:14,400.46,400.07571,0.095962144,0.147678804,0.38429,0.38429,,,,,
0:16,399.88,400.04606,0.041527458,0.027575924,-0.16606,0.16606,,,,,
0:18,400.46,400.02678,0.108180592,0.187679568,0.43322,0.43322,,,,,
0:20,399.88,400.01527,0.033827648,0.018297973,-0.13527,0.13527,,,,,
0:22,399.59,400.01406,0.106123777,0.179826884,-0.42406,0.42406,,,,,
0:24,398.44,399.99904,0.391286015,2.430605722,-1.55904,1.55904,,,,,
0:26,398.44,400.00848,0.393655255,2.46012951,-1.56848,1.56848,,,,,
0:28,398.44,400.00135,0.391865777,2.437813823,-1.56135,1.56135,,,,,
0:30,397.86,400.00101,0.538131504,4.58392382,-2.14101,2.14101,,,,,
0:32,396.99,400.00121,0.75851029,9.067385664,-3.01121,3.01121,,,,,
0:34,397.86,400.00182,0.538335093,4.587392912,-2.14182,2.14182,,,,,
0:36,397.86,400.00353,0.538764892,4.594720861,-2.14353,2.14353,,,,,
0:38,397.86,399.99617,0.536914995,4.563222269,-2.13617,2.13617,,,,,
0:40,399.59,400.01143,0.105465602,0.177603245,-0.42143,0.42143,,,,,
0:42,400.75,399.99835,0.187560823,0.564977722,0.75165,0.75165,,,,,
0:44,401.33,399.99221,0.333339147,1.789682084,1.33779,1.33779,,,,,
0:46,401.33,399.99113,0.333608253,1.792572877,1.33887,1.33887,,,,,
0:48,400.46,399.99257,0.116723268,0.218490805,0.46743,0.46743,,,,,
0:50,399.88,399.99554,0.028893668,0.013349492,-0.11554,0.11554,,,,,
0:52,400.75,399.99347,0.18877854,0.572337641,0.75653,0.75653,,,,,
0:54,400.75,399.99242,0.189040549,0.573927456,0.75758,0.75758,,,,,
0:56,400.46,399.98756,0.11797433,0.223199554,0.47244,0.47244,,,,,
0:58,399.88,399.99799,0.029506352,0.01392164,-0.11799,0.11799,,,,,
1:00,400.46,399.99205,0.116853119,0.218977202,0.46795,0.46795,,,,,
1:02,400.75,399.99498,0.188401747,0.5700552,0.75502,0.75502,,,,,
1:04,400.46,399.99711,0.115589572,0.214267152,0.46289,0.46289,,,,,
1:06,400.75,399.99365,0.188733624,0.572065322,0.75635,0.75635,,,,,
1:08,400.46,399.99245,0.116753234,0.218603002,0.46755,0.46755,,,,,
1:10,400.75,399.99849,0.187525889,0.56476728,0.75151,0.75151,,,,,
1:12,401.04,399.99443,0.260714642,1.093216625,1.04557,1.04557,,,,,
1:14,399.59,399.9913,0.100427939,0.16104169,-0.4013,0.4013,,,,,
1:16,399.59,399.99663,0.101761806,0.165347957,-0.40663,0.40663,,,,,
1:18,399.02,399.99453,0.244230866,0.949708721,-0.97453,0.97453,,,,,
1:20,398.15,399.99884,0.464357654,3.418209346,-1.84884,1.84884,,,,,
1:22,397.86,399.99857,0.537518222,4.573481645,-2.13857,2.13857,,,,,
1:24,397.86,399.99249,0.535990047,4.5475136,-2.13249,2.13249,,,,,
1:26,399.02,400.00395,0.24659165,0.968157602,-0.98395,0.98395,,,,,
1:28,399.02,399.99579,0.244546639,0.952166124,-0.97579,0.97579,,,,,
1:30,399.59,399.99701,0.101856903,0.16565714,-0.40701,0.40701,,,,,
1:32,400.46,399.99605,0.115854268,0.215249602,0.46395,0.46395,,,,,
1:34,399.88,399.99897,0.029751425,0.014153861,-0.11897,0.11897,,,,,
1:36,400.75,400.00004,0.187139114,0.562440002,0.74996,0.74996,,,,,
1:38,400.75,399.99683,0.187940112,0.567265049,0.75317,0.75317,,,,,
1:40,400.46,399.9992,0.115067672,0.21233664,0.4608,0.4608,,,,,
1:42,400.46,399.99433,0.116283774,0.216848549,0.46567,0.46567,,,,,
1:44,399.88,399.99374,0.028443533,0.012936788,-0.11374,0.11374,,,,,
1:46,399.88,399.99984,0.029968991,0.014361626,-0.11984,0.11984,,,,,
1:48,399.59,399.9958,0.101554093,0.16467364,-0.4058,0.4058,,,,,
1:50,399.31,399.99823,0.172354812,0.473660533,-0.68823,0.68823,,,,,
1:52,399.31,399.99254,0.170929854,0.465860852,-0.68254,0.68254,,,,,
1:54,398.44,399.99141,0.389371047,2.406872988,-1.55141,1.55141,,,,,
1:56,398.44,400.00073,0.39171017,2.435878133,-1.56073,1.56073,,,,,
1:58,399.59,400.00053,0.102737806,0.168534881,-0.41053,0.41053,,,,,
2:00,401.04,399.9987,0.25964991,1.08430569,1.0413,1.0413,,,,,
2:02,401.33,399.99132,0.33356091,1.792064142,1.33868,1.33868,,,,,
2:04,401.33,399.99525,0.332581666,1.781557562,1.33475,1.33475,,,,,
2:06,401.91,399.99683,0.476019507,3.660219449,1.91317,1.91317,,,,,
2:08,402.2,399.99334,0.548647439,4.869348356,2.20666,2.20666,,,,,
2:10,402.2,399.99478,0.548289408,4.862995248,2.20522,2.20522,,,,,
2:12,402.2,399.99383,0.548525609,4.867186069,2.20617,2.20617,,,,,
2:14,402.2,399.99345,0.54862009,4.868862902,2.20655,2.20655,,,,,
2:16,401.91,400.00117,0.474939663,3.643631969,1.90883,1.90883,,,,,
2:18,401.04,399.99429,0.260749551,1.093509404,1.04571,1.04571,,,,,
2:20,401.04,400.00089,0.25910383,1.079749592,1.03911,1.03911,,,,,
2:22,399.88,399.98665,0.026670501,0.011374223,-0.10665,0.10665,,,,,
2:24,400.75,400.00345,0.18628821,0.557336903,0.74655,0.74655,,,,,
2:26,400.75,399.99499,0.188399251,0.5700401,0.75501,0.75501,,,,,
2:28,400.75,399.99746,0.187782907,0.566316452,0.75254,0.75254,,,,,
2:30,401.04,399.99445,0.260709655,1.093174803,1.04555,1.04555,,,,,
2:32,400.75,399.99349,0.18877355,0.57230738,0.75651,0.75651,,,,,
2:34,399.31,399.99211,0.170822168,0.465274052,-0.68211,0.68211,,,,,
2:36,398.44,399.9984,0.391125389,2.42861056,-1.5584,1.5584,,,,,
2:38,397.86,400.00031,0.537955562,4.580926896,-2.14031,2.14031,,,,,
2:40,398.15,400.0006,0.464799699,3.42472036,-1.8506,1.8506,,,,,
2:42,399.02,399.99836,0.245190717,0.95718829,-0.97836,0.97836,,,,,
2:44,399.31,399.99383,0.171252911,0.467623469,-0.68383,0.68383,,,,,
2:46,399.31,400.00085,0.173010944,0.477273723,-0.69085,0.69085,,,,,
2:48,399.59,399.99454,0.10123877,0.163652612,-0.40454,0.40454,,,,,
2:50,400.46,399.99801,0.11536483,0.21343476,0.46199,0.46199,,,,,
2:52,400.75,399.99188,0.189175296,0.574745934,0.75812,0.75812,,,,,
2:54,401.04,399.99711,0.260046379,1.087619552,1.04289,1.04289,,,,,
2:56,400.46,399.99186,0.116900564,0.21915506,0.46814,0.46814,,,,,
2:58,399.59,399.99575,0.10154158,0.164633063,-0.40575,0.40575,,,,,
3:00,399.02,399.99366,0.244012831,0.948013796,-0.97366,0.97366,,,,,
3:02,398.15,399.99761,0.464048725,3.413662712,-1.84761,1.84761,,,,,
3:04,398.44,399.99968,0.391446642,2.432601702,-1.55968,1.55968,,,,,
3:06,399.31,399.99944,0.172657835,0.475327514,-0.68944,0.68944,,,,,
3:08,400.46,399.99669,0.115694451,0.214656156,0.46331,0.46331,,,,,
3:10,401.33,399.99154,0.333506092,1.791475172,1.33846,1.33846,,,,,
3:12,401.33,399.99645,0.33228266,1.778355603,1.33355,1.33355,,,,,
3:14,401.33,399.99273,0.333209578,1.788291053,1.33727,1.33727,,,,,
3:16,401.04,399.9979,0.259849392,1.08597241,1.0421,1.0421,,,,,
3:18,399.88,399.99337,0.028351005,0.012852757,-0.11337,0.11337,,,,,
3:20,399.31,399.99728,0.172116902,0.472353798,-0.68728,0.68728,,,,,
3:22,398.15,399.99923,0.464455607,3.419651593,-1.84923,1.84923,,,,,
3:24,399.02,400.00402,0.246609193,0.96829536,-0.98402,0.98402,,,,,
3:26,399.31,399.99202,0.170799629,0.46515128,-0.68202,0.68202,,,,,
3:28,399.88,399.99773,0.029441332,0.013860353,-0.11773,0.11773,,,,,
3:30,400.75,399.99417,0.188603868,0.571278989,0.75583,0.75583,,,,,
3:32,400.46,399.99434,0.116281277,0.216839236,0.46566,0.46566,,,,,
3:34,400.75,399.9948,0.188446663,0.57032704,0.7552,0.7552,,,,,
3:36,400.75,399.99476,0.188456644,0.570387458,0.75524,0.75524,,,,,
3:38,400.46,399.99651,0.1157394,0.21482298,0.46349,0.46349,,,,,
3:40,400.75,399.99962,0.187243918,0.563070144,0.75038,0.75038,,,,,
3:42,400.46,399.99562,0.115961644,0.215648784,0.46438,0.46438,,,,,
3:44,399.88,399.9916,0.027908373,0.01245456,-0.1116,0.1116,,,,,
3:46,399.88,400.00036,0.03009903,0.01448653,-0.12036,0.12036,,,,,
3:48,400.46,399.99676,0.115676971,0.214591298,0.46324,0.46324,,,,,
3:50,399.88,399.99306,0.028273482,0.012782564,-0.11306,0.11306,,,,,
3:52,399.88,399.99866,0.029673902,0.014080196,-0.11866,0.11866,,,,,
3:54,399.31,399.99208,0.170814655,0.465233126,-0.68208,0.68208,,,,,
3:56,398.44,399.99679,0.390721313,2.423595104,-1.55679,1.55679,,,,,
3:58,398.15,399.99742,0.464001005,3.412960656,-1.84742,1.84742,,,,,
4:00,397.86,399.99721,0.537176394,4.567666584,-2.13721,2.13721,,,,,
4:02,397.86,400.00086,0.538093802,4.58328154,-2.14086,2.14086,,,,,
4:04,398.44,399.99932,0.39135629,2.431478862,-1.55932,1.55932,,,,,
4:06,399.02,399.99944,0.24546138,0.959302714,-0.97944,0.97944,,,,,
4:08,399.59,400.00028,0.102675242,0.168329678,-0.41028,0.41028,,,,,
4:10,400.75,399.99932,0.187318777,0.563520462,0.75068,0.75068,,,,,
4:12,401.91,399.9956,0.476325546,3.66492736,1.9144,1.9144,,,,,
4:14,401.33,399.99019,0.333842474,1.795090836,1.33981,1.33981,,,,,
4:16,401.04,399.99733,0.259991522,1.087160729,1.04267,1.04267,,,,,
4:18,401.04,400.00002,0.259320766,1.0815584,1.03998,1.03998,,,,,
4:20,401.04,399.99296,0.261081189,1.096292762,1.04704,1.04704,,,,,
4:22,400.46,399.99129,0.117042901,0.219689064,0.46871,0.46871,,,,,
4:24,399.88,399.99337,0.028351005,0.012852757,-0.11337,0.11337,,,,,
4:26,399.88,399.99895,0.029746424,0.014149102,-0.11895,0.11895,,,,,
4:28,399.88,399.99481,0.028711113,0.013181336,-0.11481,0.11481,,,,,
4:30,401.04,399.99839,0.259727209,1.084951392,1.04161,1.04161,,,,,
4:32,402.78,399.99953,0.690319778,7.731013421,2.78047,2.78047,,,,,
4:34,401.91,399.9861,0.478689259,3.70139121,1.9239,1.9239,,,,,
4:36,401.91,399.99644,0.476116544,3.661711874,1.91356,1.91356,,,,,
4:38,401.91,399.99504,0.47646488,3.667071802,1.91496,1.91496,,,,,
4:40,401.91,399.99229,0.477149113,3.677611644,1.91771,1.91771,,,,,
4:42,401.04,399.99066,0.261654698,1.101114436,1.04934,1.04934,,,,,
4:44,401.33,399.99749,0.332023522,1.7755829,1.33251,1.33251,,,,,
4:46,401.04,399.99052,0.261689607,1.10140827,1.04948,1.04948,,,,,
4:48,399.59,399.99413,0.101136165,0.163321057,-0.40413,0.40413,,,,,
4:50,398.44,399.99287,0.389737476,2.411405237,-1.55287,1.55287,,,,,
4:52,399.02,400.00482,0.246809684,0.969870432,-0.98482,0.98482,,,,,
4:54,399.59,400.00113,0.10288796,0.169027877,-0.41113,0.41113,,,,,
4:56,399.59,399.99667,0.101771816,0.165380489,-0.40667,0.40667,,,,,
4:58,401.33,400.00027,0.331330825,1.768181873,1.32973,1.32973,,,,,
5:00,400.46,399.99089,0.117142786,0.220064192,0.46911,0.46911,,,,,
5:02,399.59,399.99281,0.100805826,0.162255896,-0.40281,0.40281,,,,,
