time,Actual,Simulation,Savings,0.446035222,7.804575441
0:00,4.81546,4.81546,0,-9.2159,4.81546
0:02,5.24449,5.24449,0,8.714030211,5.24449
0:04,5.0443,5.0443,0,8.885846822,5.0443
0:06,5.03491,5.03491,0,8.916482571,5.03491
0:08,5.02848,5.02848,0,9.556509588,5.02848
0:10,5.02264,5.02264,0,9.17387727,5.02264
0:12,5.01711,5.01711,0,9.76444749,5.01711
0:14,5.01273,5.01273,0,9.551079499,5.01273
0:16,5.01065,5.01065,0,8.709100636,5.01065
0:18,5.01093,5.01093,0,16.65359752,5.01093
0:20,5.01293,5.01293,0,7.043657889,5.01293
0:22,5.01598,5.01598,0,8.294074079,5.01598
0:24,5.01952,5.01952,0,6.854811886,5.01952
0:26,5.02318,5.02318,0,8.630228772,5.02318
0:28,5.02672,5.02672,0,8.724943843,5.02672
0:30,5.02749,5.02749,0,8.76841548,5.02749
0:32,5.02721,5.02721,0,8.824600757,5.02721
0:34,5.02571,5.02571,0,8.737497289,5.02571
0:36,5.02244,5.02244,0,9.167698147,5.02244
0:38,5.01789,5.01789,0,8.567073788,5.01789
0:40,5.01255,5.01255,0,9.258565147,5.01255
0:42,5.00655,5.00655,0,8.790355602,5.00655
0:44,5.00003,5.00003,0,8.315633616,5.00003
0:46,4.99316,4.99316,0,8.19262097,4.99316
0:48,4.9861,4.9861,0,8.456947606,4.9861
0:50,4.97896,4.97896,0,8.743207374,4.97896
0:52,4.97168,4.97168,0,8.503267573,4.97168
0:54,4.96432,4.96432,0,8.637893314,4.96432
0:56,4.95689,4.95689,0,8.14195972,4.95689
0:58,4.94945,4.94945,0,9.260804443,4.94945
1:00,4.94529,4.94529,0,8.498181099,4.94529
1:02,4.94294,4.94294,0,8.762993888,4.94294
1:04,4.94278,4.94278,0,9.006380633,4.94278
1:06,4.94489,4.94489,0,8.662610197,4.94489
1:08,4.94865,4.94865,0,8.584188677,4.94865
1:10,4.95339,4.95339,0,9.077922479,4.95339
1:12,4.95859,4.95859,0,8.776963356,4.95859
1:14,4.96389,4.96389,0,8.551835313,4.96389
1:16,4.96904,4.96904,0,8.645808042,4.96904
1:18,4.97371,4.97371,0,8.689965285,4.97371
1:20,4.97763,4.97763,0,9.219653626,4.97763
1:22,4.98028,4.98028,0,8.960591285,4.98028
1:24,4.98117,4.98117,0,8.359424677,4.98117
1:26,4.98077,4.98077,0,9.189480549,4.98077
1:28,4.97957,4.97957,0,8.93164892,4.97957
1:30,4.97766,4.97766,0,8.739643248,4.97766
1:32,4.97534,4.97534,0,8.714506952,4.97534
1:34,4.97268,4.97268,0,9.088275071,4.97268
1:36,4.96982,4.96982,0,8.885066477,4.96982
1:38,4.97198,4.97198,0,8.789540558,4.97198
1:40,4.9736,4.9736,0,9.001312836,4.9736
1:42,4.97169,4.97169,0,8.467683196,4.97169
1:44,4.96893,4.96893,0,8.516502546,4.96893
1:46,4.96608,4.96608,0,8.90174583,4.96608
1:48,4.96321,4.96321,0,8.813830064,4.96321
1:50,4.96055,4.96055,0,8.951619612,4.96055
1:52,4.95896,4.95896,0,8.462214314,4.95896
1:54,4.95959,4.95959,0,8.454099851,4.95959
1:56,4.9625,4.9625,0,9.074971385,4.9625
1:58,4.96706,4.96706,0,9.163932744,4.96706
2:00,4.97142,4.97142,0,8.930134442,4.97142
2:02,4.97667,4.97667,0,8.477375223,4.97667
2:04,4.98224,4.98224,0,8.631654345,4.98224
2:06,4.98769,4.98769,0,8.785986062,4.98769
2:08,4.99268,4.99268,0,8.602450293,4.99268
2:10,4.99695,4.99695,0,8.735615274,4.99695
2:12,4.99996,4.99996,0,8.626711222,4.99996
2:14,5.00122,5.00122,0,8.61177275,5.00122
2:16,5.00122,5.00122,0,9.265225184,5.00122
2:18,5.00043,5.00043,0,8.678921669,5.00043
2:20,4.99898,4.99898,0,9.054940881,4.99898
2:22,4.99704,4.99704,0,8.028619584,4.99704
2:24,4.99474,4.99474,0,8.973012154,4.99474
2:26,4.99225,4.99225,0,8.773061816,4.99225
2:28,4.98986,4.98986,0,8.896811118,4.98986
2:30,4.98502,4.98502,0,8.644031264,4.98502
