time,Actual,Simulation,MAE,MSE,0.21989575,0.430133972,MAE %,MSE ,MR %,Coef,R-square
2:32,41.35,41.23103,0.287714631,0.014153861,0.11897,0.11897,,,,,
2:34,41.1125,40.89947,0.518163576,0.045381781,0.21303,0.21303,,,,,
2:36,41.35,41.16412,0.449528416,0.034551374,0.18588,0.18588,,,,,
2:38,41.575,41.38316,0.461431149,0.036802586,0.19184,0.19184,,,,,
2:40,41.725,41.61046,0.274511684,0.013119412,0.11454,0.11454,,,,,
2:42,41.725,41.67932,0.10947873,0.002086662,0.04568,0.04568,,,,,
2:44,41.525,41.44601,0.190222757,0.00623942,0.07899,0.07899,,,,,
2:46,41.95,41.76031,0.452181168,0.035982296,0.18969,0.18969,,,,,
2:48,41.6375,41.53623,0.243218253,0.010255613,0.10127,0.10127,,,,,
2:50,41.8375,41.77072,0.159617568,0.004459568,0.06678,0.06678,,,,,
2:52,41.6625,41.5573,0.252505251,0.01106704,0.1052,0.1052,,,,,
2:54,41.875,41.73277,0.339653731,0.020229373,0.14223,0.14223,,,,,
2:56,41.55,41.36225,0.451865223,0.035250062,0.18775,0.18775,,,,,
2:58,41.525,41.30696,0.525081276,0.047541442,0.21804,0.21804,,,,,
3:00,41.2625,41.12706,0.328239927,0.018343994,0.13544,0.13544,,,,,
3:02,41.4375,41.23662,0.484778281,0.040352774,0.20088,0.20088,,,,,
3:04,41.6375,41.53974,0.234788352,0.009557018,0.09776,0.09776,,,,,
3:06,41.8375,41.77356,0.152829399,0.004088324,0.06394,0.06394,,,,,
3:08,41.875,41.83784,0.088740299,0.001380866,0.03716,0.03716,,,,,
3:10,41.575,41.55719,0.042838244,0.000317196,0.01781,0.01781,,,,,
3:12,41.8375,41.6702,0.39988049,0.02798929,0.1673,0.1673,,,,,
3:14,41.575,41.45361,0.291978352,0.014735532,0.12139,0.12139,,,,,
3:16,41.8125,41.61526,0.471724963,0.038903618,0.19724,0.19724,,,,,
3:18,41.55,41.29607,0.611143201,0.064480445,0.25393,0.25393,,,,,
3:20,41.55,41.36599,0.442864019,0.03385968,0.18401,0.18401,,,,,
3:22,41.725,41.43899,0.68546435,0.08180172,0.28601,0.28601,,,,,
3:24,42.125,42.00943,0.274350148,0.013356425,0.11557,0.11557,,,,,
3:26,41.7,41.5906,0.26235012,0.01196836,0.1094,0.1094,,,,,
3:28,41.875,41.76846,0.254423881,0.011350772,0.10654,0.10654,,,,,
3:30,41.725,41.68109,0.105236669,0.001928088,0.04391,0.04391,,,,,
3:32,41.725,41.54322,0.435662073,0.033043968,0.18178,0.18178,,,,,
3:34,41.6375,41.54021,0.233659562,0.009465344,0.09729,0.09729,,,,,
3:36,41.6375,41.50682,0.313851696,0.017077262,0.13068,0.13068,,,,,
3:38,41.725,41.54502,0.431348113,0.0323928,0.17998,0.17998,,,,,
3:40,42.0125,41.84987,0.387099078,0.026448517,0.16263,0.16263,,,,,
3:42,41.925,41.70868,0.515968992,0.046794342,0.21632,0.21632,,,,,
3:44,41.575,41.38556,0.455658449,0.035887514,0.18944,0.18944,,,,,
3:46,41.95,41.7636,0.444338498,0.03474496,0.1864,0.1864,,,,,
3:48,41.925,41.81151,0.270697674,0.01287998,0.11349,0.11349,,,,,
3:50,41.7,41.48866,0.506810552,0.044664596,0.21134,0.21134,,,,,
3:52,41.875,41.70173,0.413779104,0.030022493,0.17327,0.17327,,,,,
3:54,41.4875,41.31528,0.415112986,0.029659728,0.17222,0.17222,,,,,
3:56,41.55,41.3319,0.524909747,0.04756761,0.2181,0.2181,,,,,
3:58,41.55,41.40156,0.357256318,0.022034434,0.14844,0.14844,,,,,
4:00,41.55,41.40205,0.356077016,0.021889202,0.14795,0.14795,,,,,
4:02,41.875,41.70327,0.410101493,0.029491193,0.17173,0.17173,,,,,
4:04,41.95,41.83432,0.275756853,0.013381862,0.11568,0.11568,,,,,
4:06,42.1,41.95675,0.340261283,0.020520563,0.14325,0.14325,,,,,
4:08,42.3,42.11767,0.431040189,0.033244229,0.18233,0.18233,,,,,
4:10,42.45,42.30987,0.330106007,0.019636417,0.14013,0.14013,,,,,
4:12,42.425,42.28816,0.322545669,0.018725186,0.13684,0.13684,,,,,
4:14,42.075,41.79177,0.67315508,0.080219233,0.28323,0.28323,,,,,
4:16,42.125,41.86779,0.610587537,0.066156984,0.25721,0.25721,,,,,
4:18,42.45,42.16697,0.666737338,0.080105981,0.28303,0.28303,,,,,
4:20,42.1625,41.9311,0.548828936,0.05354596,0.2314,0.2314,,,,,
4:22,41.7875,41.55484,0.556769369,0.054130676,0.23266,0.23266,,,,,
4:24,41.575,41.38175,0.46482261,0.037345563,0.19325,0.19325,,,,,
4:26,41.875,41.69843,0.421659701,0.031176965,0.17657,0.17657,,,,,
4:28,41.725,41.57573,0.357747154,0.022281533,0.14927,0.14927,,,,,
4:30,41.95,41.90093,0.116972586,0.002407865,0.04907,0.04907,,,,,
4:32,42.3,42.25851,0.098085106,0.00172142,0.04149,0.04149,,,,,
4:34,41.6625,41.42285,0.575217522,0.057432123,0.23965,0.23965,,,,,
4:36,41.725,41.5773,0.353984422,0.02181529,0.1477,0.1477,,,,,
4:38,41.6625,41.5262,0.327152715,0.01857769,0.1363,0.1363,,,,,
4:40,41.4125,41.32026,0.222734682,0.008508218,0.09224,0.09224,,,,,
4:42,41.0625,40.93052,0.321412481,0.01741872,0.13198,0.13198,,,,,
4:44,41.35,41.30694,0.104135429,0.001854164,0.04306,0.04306,,,,,
4:46,40.9125,40.87722,0.086232814,0.001244678,0.03528,0.03528,,,,,
4:48,40.8625,40.70182,0.393221169,0.025818062,0.16068,0.16068,,,,,
4:50,40.425,40.37559,0.122226345,0.002441348,0.04941,0.04941,,,,,
4:52,41,41.0592,0.144390244,0.00350464,-0.0592,0.0592,,,,,
4:54,41.375,41.36848,0.015758308,4.25E-05,0.00652,0.00652,,,,,
4:56,41.2625,41.20738,0.133583762,0.003038214,0.05512,0.05512,,,,,
4:58,41.4875,41.59881,0.26829768,0.012389916,-0.11131,0.11131,,,,,
5:00,41,40.88523,0.279926829,0.013172153,0.11477,0.11477,,,,,
5:02,40.5625,40.52233,0.099032357,0.001613629,0.04017,0.04017,,,,,
5:04,40.5125,40.58289,0.173748843,0.004954752,-0.07039,0.07039,,,,,
5:06,40.9375,40.90439,0.080879389,0.001096272,0.03311,0.03311,,,,,
5:08,41.2,41.11979,0.194684466,0.006433644,0.08021,0.08021,,,,,
5:10,41.6375,41.68529,0.114776343,0.002283884,-0.04779,0.04779,,,,,
5:12,41.2875,41.22237,0.157747502,0.004241917,0.06513,0.06513,,,,,
5:14,41.4125,41.35801,0.13157863,0.00296916,0.05449,0.05449,,,,,
5:16,41.15,41.07047,0.19326853,0.006325021,0.07953,0.07953,,,,,
5:18,41.575,41.62722,0.12560433,0.002726928,-0.05222,0.05222,,,,,
5:20,40.8,40.67622,0.303382353,0.015321488,0.12378,0.12378,,,,,
5:22,41.2625,41.22984,0.079151772,0.001066676,0.03266,0.03266,,,,,
5:24,41.7875,41.76568,0.052216572,0.000476112,0.02182,0.02182,,,,,
5:26,41.2875,41.21316,0.180054496,0.005526436,0.07434,0.07434,,,,,
5:28,41.4125,41.28161,0.31606399,0.017132192,0.13089,0.13089,,,,,
5:30,41.2,41.03617,0.397645631,0.026840269,0.16383,0.16383,,,,,
5:32,40.9375,40.78334,0.376574046,0.023765306,0.15416,0.15416,,,,,
5:34,40.6875,40.71336,0.063557604,0.00066874,-0.02586,0.02586,,,,,
5:36,41.0875,40.97937,0.263170064,0.011692097,0.10813,0.10813,,,,,
5:38,41.0875,41.04558,0.102026164,0.001757286,0.04192,0.04192,,,,,
5:40,40.9125,40.93309,0.050326917,0.000423948,-0.02059,0.02059,,,,,
5:42,40.8625,40.85788,0.01130621,2.13E-05,0.00462,0.00462,,,,,
5:44,40.6875,40.57834,0.268288786,0.011915906,0.10916,0.10916,,,,,
5:46,40.9125,41.00164,0.217879621,0.00794594,-0.08914,0.08914,,,,,
