time,Actual,Simulation,Savings,0.423818542,7.804575441
0:00,4.81546,4.81546,0,-9.2159,
0:02,5.24449,5.24449,0,8.714030211,
0:04,5.0443,5.0443,0,8.885846822,
0:06,5.03491,5.03491,0,8.916482571,
0:08,5.02848,5.02848,0,9.556509588,
0:10,5.02264,5.02264,0,9.17387727,
0:12,5.01711,5.01711,0,9.76444749,
0:14,5.01273,5.01273,0,9.551079499,
0:16,5.01065,5.01065,0,8.709100636,
0:18,5.01093,5.01093,0,16.65359752,
0:20,5.01293,5.01293,0,7.043657889,
0:22,5.01598,5.01598,0,8.294074079,
0:24,5.01952,5.01952,0,6.854811886,
0:26,5.02318,5.02318,0,8.630228772,
0:28,5.02672,5.02672,0,8.724943843,
0:30,5.02749,5.02749,0,8.76841548,
0:32,5.02721,5.02721,0,8.824600757,
0:34,5.02571,5.02571,0,8.737497289,
0:36,5.02244,5.02244,0,9.167698147,
0:38,5.01789,5.01789,0,8.567073788,
0:40,5.01255,5.01255,0,9.258565147,
0:42,5.00655,5.00655,0,8.790355602,
0:44,5.00003,5.00003,0,8.315633616,
0:46,4.99316,4.99316,0,8.19262097,
0:48,4.9861,4.9861,0,8.456947606,
0:50,4.97896,4.97896,0,8.743207374,
0:52,4.97168,4.97168,0,8.503267573,
0:54,4.96432,4.96432,0,8.637893314,
0:56,4.95689,4.95689,0,8.14195972,
0:58,4.94945,4.94945,0,9.260804443,
1:00,4.94529,4.94529,0,8.498181099,
1:02,4.94294,4.94294,0,8.762993888,
1:04,4.94278,4.94278,0,9.006380633,
1:06,4.94489,4.94489,0,8.662610197,
1:08,4.94865,4.94865,0,8.584188677,
1:10,4.95339,4.95339,0,9.077922479,
1:12,4.95859,4.95859,0,8.776963356,
1:14,4.96389,4.96389,0,8.551835313,
1:16,4.96904,4.96904,0,8.645808042,
1:18,4.97371,4.97371,0,8.689965285,
1:20,4.97763,4.97763,0,9.219653626,
1:22,4.98028,4.98028,0,8.960591285,
1:24,4.98117,4.98117,0,8.359424677,
1:26,4.98077,4.98077,0,9.189480549,
1:28,4.97957,4.97957,0,8.93164892,
1:30,4.97766,4.97766,0,8.739643248,
1:32,4.97534,4.97534,0,8.714506952,
1:34,4.97268,4.97268,0,9.088275071,
1:36,4.96982,4.96982,0,8.885066477,
1:38,4.97198,4.97198,0,8.789540558,
1:40,4.9736,4.9736,0,9.001312836,
1:42,4.97169,4.97169,0,8.467683196,
1:44,4.96893,4.96893,0,8.516502546,
1:46,4.96608,4.96608,0,8.90174583,
1:48,4.96321,4.96321,0,8.813830064,
1:50,4.96055,4.96055,0,8.951619612,
1:52,4.95896,4.95896,0,8.462214314,
1:54,4.95959,4.95959,0,8.454099851,
1:56,4.9625,4.9625,0,9.074971385,
1:58,4.96706,4.96706,0,9.163932744,
2:00,4.97142,4.97142,0,8.930134442,
2:02,4.97667,4.97667,0,8.477375223,
2:04,4.98224,4.98224,0,8.631654345,
2:06,4.98769,4.98769,0,8.785986062,
2:08,4.99268,4.99268,0,8.602450293,
2:10,4.99695,4.99695,0,8.735615274,
2:12,4.99996,4.99996,0,8.626711222,
2:14,5.00122,5.00122,0,8.61177275,
2:16,5.00122,5.00122,0,9.265225184,
2:18,5.00043,5.00043,0,8.678921669,
2:20,4.99898,4.99898,0,9.054940881,
2:22,4.99704,4.99704,0,8.028619584,
2:24,4.99474,4.99474,0,8.973012154,
2:26,4.99225,4.99225,0,8.773061816,
2:28,4.98986,4.98986,0,8.896811118,
2:30,4.98502,4.98502,0,8.644031264,
2:32,4.97802,4.97802,0,8.547720551,
2:34,4.97054,4.97054,0,8.624010824,
2:36,4.96296,4.96296,0,9.075493873,
2:38,4.95533,4.95533,0,9.168553051,
2:40,4.9479,4.9479,0,8.997947897,
2:42,4.9415,4.9415,0,8.766047127,
2:44,4.93727,4.93727,0,8.500550826,
2:46,4.93528,4.93528,0,9.110513637,
2:48,4.93488,4.93488,0,8.514159618,
2:50,4.93543,4.93543,0,8.792476229,
2:52,4.93638,4.93638,0,8.608775602,
2:54,4.93738,4.93738,0,8.908948428,
2:56,4.93819,4.93819,0,8.566217146,
2:58,4.93847,4.93847,0,8.769526928,
3:00,4.9399,4.9399,0,8.576450515,
3:02,4.94063,4.94063,0,8.984126116,
3:04,4.93962,4.93962,0,9.018386432,
3:06,4.93731,4.93731,0,8.965671725,
3:08,4.93419,4.93419,0,8.772789416,
3:10,4.93037,4.93037,0,8.390926509,
3:12,4.92602,4.92602,0,8.943738676,
3:14,4.92126,4.92126,0,8.59279168,
3:16,4.91628,4.91628,0,8.99733182,
3:18,4.91134,4.91134,0,8.698057867,
3:20,4.90636,4.90636,0,8.799259685,
3:22,4.90119,4.90119,0,9.048546526,
3:24,4.89589,4.89589,0,9.176834798,
3:26,4.89049,4.89049,0,8.45584426,
3:28,4.88503,4.88503,0,8.805256211,
3:30,4.8803,4.8803,0,8.561355186,
3:32,4.87799,4.87799,0,8.749409705,
3:34,4.87819,4.87819,0,8.673573961,
3:36,4.88063,4.88063,0,8.762257729,
3:38,4.88471,4.88471,0,8.883779674,
3:40,4.88978,4.88978,0,9.072264498,
3:42,4.89532,4.89532,0,8.800563562,
3:44,4.90098,4.90098,0,8.488031974,
3:46,4.90653,4.90653,0,9.058624965,
3:48,4.91162,4.91162,0,8.797260774,
3:50,4.91603,4.91603,0,8.617006694,
3:52,4.91921,4.91921,0,8.901125222,
3:54,4.92068,4.92068,0,8.488400689,
3:56,4.92092,4.92092,0,8.847140872,
3:58,4.92041,4.92041,0,8.858878549,
4:00,4.91994,4.91994,0,8.808497086,
4:02,4.91848,4.91848,0,9.11973932,
4:04,4.91646,4.91646,0,8.905865104,
4:06,4.91424,4.91424,0,8.887660738,
4:08,4.91207,4.91207,0,8.956083889,
4:10,4.9099,4.9099,0,8.853387076,
4:12,4.90755,4.90755,0,8.634036688,
4:14,4.9051,4.9051,0,8.462234777,
4:16,4.90257,4.90257,0,8.753485214,
4:18,4.90001,4.90001,0,9.100488399,
4:20,4.89765,4.89765,0,8.587296705,
4:22,4.89632,4.89632,0,8.395436383,
4:24,4.89716,4.89716,0,8.53055566,
4:26,4.90024,4.90024,0,9.037715622,
4:28,4.90492,4.90492,0,8.72763971,
4:30,4.91077,4.91077,0,8.857531885,
