date,Flow,Pressure,Power,,
1/11/2016,0.187,0.61,0.13,,
2/11/2016,1.1168,0.66,1.646,,
3/11/2016,2.431,0.68,3.04,,
4/11/2016,2.45,0.15,3.35,,
7/11/2016,0.317,0.79,0.286,,
8/11/2016,0.186,1.06,4.604,,
9/11/2016,0.553,1.56,9.357,,
10/11/2016,0.023,0.9,10.463,,
11/11/2016,0,0.91,10.637,,
14/11/2016,0.897,0.688,13.924,,
15/11/2016,0.354,0.345,14.223,,
16/11/2016,0.857,0.47,15.896,,
17/11/2016,0.988,0.67,15.413,,
18/11/2016,0.304,0.86,12.319,,
21/11/2016,0.787,0.813,7.437,,
22/11/2016,0.63,0.122,9.206,,
23/11/2016,0.008,1.34,9.036,,
24/11/2016,3.5,0.164,14.2,,
25/11/2016,2.089,0.28,16.164,,
28/11/2016,0.059,0.75,9.761,,
29/11/2016,2.796,1.37,15.976,,
30/11/2016,2.813,2.05,14.613,,
,,,,,
