time,Actual,Stope,Station,0.212227045
0:00,3.480445592,3.480445592,3.480445592,3.517160494
0:02,3.480445592,3.480445592,3.480445592,3.5276768
0:04,3.402320611,3.402320611,3.402320611,3.536089845
0:06,3.369030141,3.369030141,3.369030141,3.540296368
0:08,3.260748931,3.260748931,3.260748931,3.546533625
0:10,3.336972488,3.336972488,3.336972488,3.550740148
0:12,3.287166729,3.287166729,3.287166729,3.559153193
0:14,3.284181316,3.284181316,3.284181316,3.561256454
0:16,3.28782201,3.28782201,3.28782201,3.565462976
0:18,3.229724177,3.229724177,3.229724177,3.567566238
0:20,3.199556841,3.199556841,3.199556841,3.569669499
0:22,3.207000383,3.207000383,3.207000383,3.57177276
0:24,3.182643941,3.182643941,3.182643941,3.567566238
0:26,3.193459401,3.193459401,3.193459401,3.569669499
0:28,3.234653219,3.234653219,3.234653219,3.569669499
0:30,3.211165301,3.211165301,3.211165301,3.569669499
0:32,3.28498098,3.28498098,3.28498098,3.565462976
0:34,3.423131874,3.423131874,3.423131874,3.55494667
0:36,3.499626429,3.499626429,3.499626429,3.540296368
0:38,3.550025271,3.550025271,3.550025271,3.533986584
0:40,3.590528269,3.590528269,3.590528269,3.523470278
0:42,3.624214127,3.624214127,3.624214127,3.517160494
0:44,3.665936612,3.665936612,3.665936612,3.523470278
0:46,3.694802273,3.694802273,3.694802273,3.5276768
0:48,3.607370087,3.607370087,3.607370087,3.536089845
0:50,3.484812647,3.484812647,3.484812647,3.540296368
0:52,3.481169732,3.481169732,3.481169732,3.546533625
0:54,3.429988996,3.429988996,3.429988996,3.550740148
0:56,3.410410548,3.410410548,3.410410548,3.557049931
0:58,3.41911134,3.41911134,3.41911134,3.561256454
1:00,3.414950864,3.414950864,3.414950864,3.561256454
1:02,3.348449892,3.348449892,3.348449892,3.55494667
1:04,3.318911181,3.318911181,3.318911181,3.550740148
1:06,3.353276754,3.353276754,3.353276754,3.546533625
1:08,3.376144932,3.376144932,3.376144932,3.546533625
1:10,3.3872847,3.3872847,3.3872847,3.540296368
1:12,3.34007563,3.34007563,3.34007563,3.540296368
1:14,3.370420669,3.370420669,3.370420669,3.546533625
1:16,3.342236945,3.342236945,3.342236945,3.550740148
