time,Actual,Simulation,Savings,0.921059429,7.804575441
3:32,11.73142,10.70499,1.02643,8.749409705,
3:34,11.70936,10.69374,1.01562,8.673573961,
3:36,11.70486,10.67925,1.02561,8.762257729,
3:38,11.72609,10.68437,1.04172,8.883779674,
3:40,11.78504,10.71587,1.06917,9.072264498,
3:42,11.7822,10.7453,1.0369,8.800563562,
3:44,11.71956,10.7248,0.99476,8.488031974,
3:46,11.78457,10.71705,1.06752,9.058624965,
3:48,11.78435,10.74765,1.0367,8.797260774,
3:50,11.74561,10.73349,1.01212,8.617006694,
3:52,11.77368,10.72569,1.04799,8.901125222,
3:54,11.71104,10.71696,0.99408,8.488400689,
3:56,11.7291,10.69141,1.03769,8.847140872,
3:58,11.74336,10.70303,1.04033,8.858878549,
4:00,11.74332,10.70891,1.03441,8.808497086,
4:02,11.81525,10.73773,1.07752,9.11973932,
4:04,11.83355,10.77967,1.05388,8.905865104,
4:06,11.8516,10.79827,1.05333,8.887660738,
4:08,11.88812,10.82341,1.06471,8.956083889,
4:10,11.89861,10.84518,1.05343,8.853387076,
4:12,11.86884,10.84408,1.02476,8.634036688,
4:14,11.80941,10.81007,0.99934,8.462234777,
4:16,11.81061,10.77677,1.03384,8.753485214,
4:18,11.88167,10.80038,1.08129,9.100488399,
4:20,11.83504,10.81873,1.01631,8.587296705,
4:22,11.75734,10.77026,0.98708,8.395436383,
4:24,11.71436,10.71506,0.9993,8.53055566,
4:26,11.77178,10.70788,1.0639,9.037715622,
4:28,11.75186,10.7262,1.02566,8.72763971,
4:30,11.76558,10.72344,1.04214,8.857531885,
4:32,11.80629,10.74838,1.05791,8.960562548,
4:34,11.70295,10.7334,0.96955,8.284663269,
4:36,11.68995,10.67692,1.01303,8.665819785,
4:38,11.6857,10.66703,1.01867,8.717235596,
4:40,11.62505,10.63822,0.98683,8.488823704,
4:42,11.56489,10.58786,0.97703,8.448242915,
4:44,11.60708,10.56771,1.03937,8.9546208,
4:46,11.53126,10.55968,0.97158,8.425618709,
4:48,11.5273,10.52114,1.00616,8.728496699,
4:50,11.46738,10.49761,0.96977,8.456770422,
4:52,11.56208,10.49668,1.0654,9.214604985,
4:54,11.65567,10.57628,1.07939,9.260643103,
4:56,11.64733,10.61928,1.02805,8.826486414,
4:58,11.65122,10.62104,1.03018,8.841820857,
5:00,11.57625,10.59999,0.97626,8.433300939,
5:02,11.48439,10.52607,0.95832,8.344544203,
5:04,11.45634,10.46835,0.98799,8.623958437,
5:06,11.55365,10.48539,1.06826,9.246082407,
5:08,11.63044,10.5574,1.07304,9.226134179,
5:10,11.70513,10.62704,1.07809,9.210406036,
5:12,11.64927,10.6499,0.99937,8.578820819,
5:14,11.65207,10.62575,1.02632,8.808048699,
5:16,11.61223,10.61436,0.99787,8.593267615,
5:18,11.66055,10.60862,1.05193,9.021272581,
5:20,11.54292,10.58923,0.95369,8.26212085,
5:22,11.59877,10.54675,1.05202,9.070099674,
5:24,11.70583,10.6138,1.09203,9.32894122,
5:26,11.61938,10.63602,0.98336,8.463102162,
5:28,11.63084,10.60221,1.02863,8.843987193,
5:30,11.61515,10.60135,1.0138,8.728255769,
5:32,11.58081,10.57544,1.00537,8.681344396,
5:34,11.52031,10.53482,0.98549,8.554370499,
5:36,11.60726,10.53514,1.07212,9.236632935,
5:38,11.62652,10.58277,1.04375,8.977320815,
5:40,11.58299,10.57905,1.00394,8.667364817,
5:42,11.56663,10.55443,1.0122,8.751036387,
5:44,11.55289,10.5401,1.01279,8.766551053,
5:46,11.57718,10.53986,1.03732,8.960040355,
5:48,11.5642,10.54709,1.01711,8.795333875,
5:50,11.54552,10.53312,1.0124,8.768769185,
5:52,11.57884,10.53773,1.04111,8.991487921,
5:54,11.52629,10.53404,0.99225,8.608580905,
5:56,11.51994,10.50593,1.01401,8.802215984,
5:58,11.48426,10.48873,0.99553,8.668647349,
6:00,11.49863,10.47186,1.02677,8.929498558,
6:02,11.51684,10.48343,1.03341,8.97303427,
6:04,11.49703,10.48476,1.01227,8.804621715,
6:06,11.51146,10.47655,1.03491,8.990258403,
6:08,11.54006,10.49492,1.04514,9.056625356,
6:10,11.50106,10.49864,1.00242,8.715892274,
6:12,11.60979,10.52046,1.08933,9.382857054,
6:14,11.4796,10.5271,0.9525,8.297327433,
6:16,11.49068,10.46562,1.02506,8.92079494,
6:18,11.50901,10.47629,1.03272,8.97314365,
6:20,11.56635,10.50208,1.06427,9.201433469,
6:22,11.52891,10.5188,1.01011,8.761539469,
6:24,11.56277,10.5134,1.04937,9.075420509,
6:26,11.58804,10.53999,1.04805,9.044238715,
6:28,11.59553,10.55558,1.03995,8.968542188,
6:30,11.6396,10.5791,1.0605,9.11113784,
6:32,11.63627,10.60196,1.03431,8.888673089,
6:34,11.67988,10.61724,1.06264,9.098038678,
6:36,11.71412,10.65228,1.06184,9.064616036,
6:38,11.74699,10.6822,1.06479,9.064364573,
6:40,11.68773,10.67976,1.00797,8.62417253,
6:42,11.6323,10.63278,0.99952,8.592625706,
6:44,11.80129,10.66525,1.13604,9.626405249,
6:46,11.84115,10.77026,1.07089,9.043800644,
6:48,11.91968,10.82391,1.09577,9.192948133,
6:50,11.8984,10.86004,1.03836,8.726887649,
6:52,11.85112,10.83974,1.01138,8.534045727,
6:54,11.7313,10.77204,0.95926,8.176928388,
6:56,11.78339,10.72449,1.0589,8.986378283,
6:58,11.7699,10.74154,1.02836,8.737202525,
7:00,12.66477,11.13324,1.53153,12.09283706,
7:02,12.78113,11.52482,1.25631,9.829412579,
7:04,12.68789,11.58564,1.10225,8.687417687,
7:06,12.63724,11.54311,1.09413,8.657982281,
7:08,12.56067,11.49325,1.06742,8.498113556,
7:10,12.89063,11.58099,1.30964,10.15962757,
7:12,13.04829,11.78289,1.2654,9.697822473,
7:14,13.20465,11.92724,1.27741,9.673940619,
7:16,13.45933,12.1076,1.35173,10.04307049,
7:18,13.24123,12.15845,1.08278,8.177337,
7:20,13.49055,12.17658,1.31397,9.739929061,
7:22,13.54377,12.31534,1.22843,9.070074285,
7:24,13.63813,12.38394,1.25419,9.196202119,
7:26,13.64432,12.43311,1.21121,8.877027217,
7:28,13.55778,12.408,1.14978,8.480591955,
7:30,13.48371,12.34142,1.14229,8.471629841,
7:32,13.55276,12.32448,1.22828,9.062951015,
7:34,13.51462,12.34232,1.1723,8.674309748,
7:36,13.56867,12.34329,1.22538,9.030951449,
7:38,13.5432,12.36915,1.17405,8.668926103,
7:40,13.62771,12.38926,1.23845,9.087733742,
7:42,14.08146,12.42748,1.65398,11.74579909,
7:44,12.89387,12.43778,0.45609,3.53726228,
7:46,13.31942,12.49098,0.82844,6.219790351,
7:48,13.29391,12.69248,0.60143,4.524101638,
7:50,13.37176,12.79489,0.57687,4.314091787,
7:52,13.41204,12.85075,0.56129,4.184971116,
7:54,13.44845,12.90642,0.54203,4.030427298,
7:56,13.42518,12.85827,0.56691,4.222736678,
7:58,13.52142,12.93838,0.58304,4.311973151,
8:00,13.54019,12.96563,0.57456,4.243367338,
8:02,13.50141,12.97892,0.52249,3.869892108,
8:04,13.53013,13.00766,0.52247,3.861529786,
8:06,13.52323,13.00951,0.51372,3.798796589,
8:08,13.47528,12.99356,0.48172,3.57484223,
8:10,13.64391,12.95915,0.68476,5.018795932,
8:12,13.63357,13.06279,0.57078,4.18657769,
8:14,13.58002,13.01197,0.56805,4.18298353,
8:16,13.62849,13.0032,0.62529,4.588109174,
8:18,13.67014,12.99793,0.67221,4.917360027,
8:20,13.68043,12.99575,0.68468,5.004813445,
8:22,13.6735,12.99008,0.68342,4.998135079,
8:24,13.5392,13.02971,0.50949,3.763073151,
8:26,13.6573,13.00591,0.65139,4.769537171,
8:28,13.69197,13.01272,0.67925,4.960936958,
